Year,White,Black,American Indian Eskimo and Aleut,Asian and Pacific Islander,Other race,Two or more races,Hispanic),Non-Hispanic White
1910,  88.9,  10.7,   0.3,   0.2,,,   0.9,  88.1
1920,  89.7,   9.9,   0.2,   0.2,,,   1.2,  88.5
1930,  89.8,   9.7,   0.3,   0.2,,,,
1940,  89.8,   9.8,   0.3,   0.2,,,   1.5,  88.3
1950,  89.5,  10.0,   0.2,   0.2,   0.0,,   2.1,  87.5
1960,  88.6,  10.5,   0.3,   0.5,   0.0,,   3.2,  85.4
1970,  87.7,  11.1,   0.4,   0.8,   0.1,,   4.4,  83.5
1980,  83.1,  11.7,   0.6,   1.5,   3.0,,   6.4,  79.6
1990,  80.3,  12.1,   0.8,   2.9,   3.9,,   9.0,  75.6
2000,  75.1,  12.3,   0.9,   3.8,   5.5,   2.4,  12.5,  69.1
2010,  72.4,  12.6,   0.9,   4.9,   6.2,   2.9,  16.3,  63.7
